ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold3:14002810-14002876,0.580883748631085,0.441178331508113,0.296136017889024,4.1579185731916,0.0736213036088822,3,0.00657388043161811,7.98685223913676,8.77575054848164,0.526179246547011,6
PGA_scaffold3:14109942-14109954,0.426053119457172,0.262068296444936,0.197973120652903,2.59812531203196,0.143235592632544,3,3.7902295054601,0.419540989079795,1.62988136105598,0.274353495507342,7
PGA_scaffold3:14698342-14698513,0.420279459088135,0.275349323860168,0.308977951670206,2.89987626401549,0.112947014294711,3,-0.937489401168153,9.87497880233631,11.4665598935298,0.763738996946528,8
PGA_scaffold3:15572964-15573188,0.601749084299846,0.513248880810923,0.214915955769834,6.79940904740589,0.0158746998894857,3,3.14892880433353,1.70214239133294,3.64176899048494,0.415699812400152,9
PGA_scaffold4:29642249-29642337,0.412628900376467,0.282101989349015,0.202745735534304,3.16125538502696,0.0912234690714679,3,3.84846146822483,0.303077063550342,2.24270366270234,0.369952499496114,9
PGA_scaffold4:30067219-30067234,0.109981718942848,-0.144309218502052,0.277097737769795,0.432503494021209,0.665114238517022,3,0.427839298599975,7.14432140280005,8.35466177477623,0.537482093939965,7
PGA_scaffold4:52672191-52672424,0.649814438549619,0.571995424893979,0.103093104718517,8.35032992611724,0.0088990174929535,3,11.9643032731896,-15.9286065463791,-13.9889799472271,0.0956536941645276,9
PGA_scaffold4:5826944-5826975,0.492068403111393,0.365085503889241,0.146186310716638,3.87507614116242,0.0665611657029621,3,7.29477872589519,-6.58955745179039,-4.9979763605969,0.170963499527532,8
PGA_scaffold5:21524795-21524858,0.721466179439095,0.62862157258546,0.189365365935612,7.77068484523234,0.021608957177109,3,4.03083898028326,-0.0616779605665183,0.72722034877836,0.215155450895568,6
PGA_scaffold5:33829656-33830027,0.384027677148764,0.230034596435955,0.220447309097384,2.49379826269571,0.143960980110946,3,2.77623396616672,2.44753206766656,4.03911315886004,0.388776128706222,8
PGA_scaffold5:34416978-34417126,0.379936171137164,0.242144209167645,0.116399962616096,2.75731737691063,0.116402897185543,3,10.5075068144835,-13.0150136289671,-11.0753870298151,0.121940561673257,9
PGA_scaffold5:8064794-8064798,0.364591703435668,0.223389859754706,0.101776214089795,2.58206050240705,0.129938534742926,3,12.1185763023602,-16.2371526047205,-14.2975260055685,0.0932255797900666,9
PGA_scaffold7:2365289-2365367,0.245996629635845,0.078440325110477,0.162490178475309,1.46814308379904,0.280659529091032,3,6.50448266654505,-5.0089653330901,-3.0693387339381,0.23762752290844,9
PGA_scaffold8:14265258-14265288,0.255328955763739,0.0691611947046733,0.225479946158739,1.3714993096078,0.307509026435922,3,2.5279362559932,2.9441274880136,4.53570857920708,0.406729648957981,8
PGA_scaffold8:18093213-18093280,0.333758807490044,0.185705209154498,0.125318180144524,2.25431067695916,0.160820594708945,3,9.62162205231774,-11.2432441046355,-9.30361750548348,0.141341816472617,9
PGA_scaffold8:25782220-25782477,0.340277769541062,0.175347211926328,0.289370705201166,2.06315781903755,0.189428131070225,3,-0.216314689318096,8.43262937863619,10.0242104698297,0.669883240228963,8
PGA_scaffold8:5043819-5043828,0.587842267103234,0.450456356137645,0.145177632482256,4.27876674523396,0.0700148813936784,3,6.42232130015382,-4.84464260030764,-4.05574429096277,0.126459269838919,6
PGA_scaffold9:3996062-3996168,0.371570176187171,0.214462720233963,0.179797248374799,2.36507028856631,0.155965000100761,3,5.01835172549948,-2.03670345099895,-0.445122359805472,0.258616404185192,8
