ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold13:17937026-17937088,0.385423103180712,0.217811222229998,0.138651146397873,2.29949751171901,0.133940891285811,4,10.6789975442346,-11.3579950884692,-7.81774408295813,0.211465544371889,11
PGA_scaffold13:19133672-19133734,0.379991136914723,0.224988921143403,0.104690253727826,2.4515206768098,0.113678890441772,4,15.706428097026,-21.412856194052,-17.5499125828531,0.131520590707158,12
PGA_scaffold13:6615896-6615924,0.764034463734563,0.693244802854932,0.0927061510708817,10.7930233630263,0.00177460195882521,4,15.7866525477281,-21.5733050954562,-18.3780184473799,0.0859443044637715,10
PGA_scaffold14:10585566-10585812,0.339242219079201,0.174052773849001,0.0172816261532385,2.0536555383817,0.160065867791964,4,44.5282226714392,-79.0564453428785,-75.1935017316796,0.00358385523000358,12
PGA_scaffold14:10741127-10741221,0.559172942115318,0.448966177644147,0.117581296289765,5.07385317769305,0.0169595344659846,4,13.8484448694866,-17.6968897389731,-13.8339461277742,0.165904334846178,12
PGA_scaffold14:1545614-1545640,0.383214669671466,0.229018337089333,0.174998940147818,2.4852385478581,0.110510145483354,4,7.48604583034178,-4.97209166068355,-1.10914804948465,0.367495548634316,12
PGA_scaffold14:15698493-15698502,0.490713069337292,0.363391336671615,0.148204112471449,3.85411868864378,0.0383552342069043,4,10.1450771209026,-10.2901542418051,-6.42721063060622,0.2635735074414,12
PGA_scaffold14:34995746-34995952,0.673916277900414,0.576091161270538,0.101364231264824,6.88899028303944,0.00851283485300007,4,14.5366561764076,-19.0733123528153,-15.878025704739,0.102747073799087,10
PGA_scaffold14:34996189-34996265,0.321155954333628,0.094874605778171,0.217361197978032,1.419277180306,0.299951058067072,4,3.78454257018004,2.43091485963992,5.2556616469476,0.425213013478006,9
PGA_scaffold14:8042658-8042662,0.320752053521497,0.0943360713619956,0.155048279931632,1.41664934808153,0.300638340675291,4,8.17625359189448,-6.35250718378896,-3.52776039648128,0.21635972198782,9
PGA_scaffold14:9365992-9366024,0.569319767266984,0.425759689689312,0.181491150322438,3.96572485103986,0.0469476656242543,4,6.12913914441416,-2.25827828882832,0.566468498479361,0.296451338808258,9
PGA_scaffold15:12287577-12287732,0.362157133229418,0.188199987746532,0.252990052944396,2.0818755804719,0.160818643610064,4,1.6581605760013,6.6836788479974,10.2239298535085,0.704043635776892,11
PGA_scaffold15:20737110-20737138,0.0663037762138653,-0.213805090921975,0.388433188315737,0.236707166366536,0.868776084005214,4,-4.2709564447653,18.5419128895306,21.7371995376069,1.50880341785129,10
PGA_scaffold15:21140589-21140873,0.125064219932807,-0.113554629176428,0.297854610872496,0.524117103069067,0.674607246253268,4,-0.790669118162923,11.5813382363258,15.1215892418369,0.975891061398067,11
PGA_scaffold15:5532823-5533096,0.428186845695937,0.285233557119921,0.130527758231252,2.99529202833446,0.0730357800119935,4,12.1771499377055,-14.354299875411,-10.4913562642121,0.204449948026514,12
PGA_scaffold16:12137000-12137050,0.338621883975703,0.118162511967604,0.20814993085129,1.53598316502173,0.271184434645528,4,4.34746642726946,1.30506714546108,4.12981393276876,0.389937543420571,9
PGA_scaffold16:25078780-25078798,0.552340892614726,0.440426115768408,0.213528755185694,4.93537053979209,0.0185103896372778,4,4.30218037909341,1.39563924181318,5.25858285301208,0.547134351493823,12
PGA_scaffold17:10219299-10219326,0.686283212849276,0.607854016061595,0.0901368463632094,8.75035370701478,0.00238958186381434,4,18.1012600214243,-26.2025200428485,-22.3395764316496,0.0974958128676577,12
