ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,TimePoint
Scaffold_04:30070069-30070103,0.505754767491246,0.395922493600411,0.117509860165087,4.60479192112448,0.0419508919953179,3,10.3936264276957,-12.7872528553914,-10.8476262562394,0.124277105124164,9,10
Scaffold_04:40346615-40346636,0.862033652704378,0.831374464416462,0.0352221170058887,28.116649554096,0.000134579604789278,3,24.8518028721753,-41.7036057443505,-39.7639791451985,0.0111653777373886,9,10
Scaffold_04:53025903-53026156,0.492105898438382,0.3792405425358,0.0841771217692543,4.3601147092748,0.0474219339465551,3,14.3968153275594,-20.7936306551188,-18.8540040559668,0.0637720904642029,9,10
Scaffold_04:58971445-58971463,0.529148580011729,0.424514931125447,0.149979709852626,5.05715499405757,0.0337269819530346,3,7.46589317646902,-6.93178635293805,-4.99215975378604,0.202445220307301,9,10
Scaffold_05:50799988-50800012,0.775478359940074,0.725584662148979,0.0827874164521938,15.5426114774457,0.00120409825427714,3,14.5965804885191,-21.1931609770383,-19.2535343778863,0.0616838069054607,9,10
Scaffold_05:56403979-56404000,0.599439623336691,0.5104262063004,0.0881061238777927,6.73426145512759,0.0162931831909743,3,13.84938889135,-19.6987777827,-17.759151183548,0.0698642015829206,9,10
Scaffold_06:10183579-10183633,0.497770789769104,0.386164298606683,0.00456451038521997,4.46005231940046,0.0450877804630242,3,49.3721583332124,-90.7443166664249,-88.8046900672729,0.000187512795511029,9,10
Scaffold_01:28519491-28519533,0.602979335780129,0.503724169725161,0.0757989502679072,6.0750423352896,0.0248457691896609,3,14.5195508424191,-21.0391016848383,-19.4475205936448,0.0459638468937334,8,135
Scaffold_01:28732311-28732354,0.675080040140927,0.602875604616688,0.0431455141161352,9.34956468033473,0.00635321802069769,3,22.4169519612813,-36.8339039225625,-34.8942773234105,0.0167538184951106,9,135
Scaffold_01:29573847-29574070,0.665220174521552,0.590824657748563,0.0745229714795026,8.94167018896332,0.00726803071247575,3,15.8586043456647,-23.7172086913293,-21.7775820921773,0.0499830595032128,9,135
Scaffold_01:71504747-71504794,0.788273456204345,0.727780157977015,0.121972724964438,13.0307567830417,0.00436730556125827,3,8.63356763873406,-9.26713527746812,-8.05679490549193,0.104141419446754,7,135
Scaffold_01:7368135-7368181,0.658139761939629,0.572674702424536,0.13355987926622,7.70068804343843,0.0136582281464799,3,8.28843070251121,-8.57686140502242,-6.98528031382894,0.142705930796859,8,135
Scaffold_01:79813610-79813816,0.71976538253108,0.657491023093542,0.0944457390634656,11.5579732819736,0.00326473565712112,3,13.0155876266202,-18.0311752532404,-16.0915486540884,0.080279978645198,9,135
Scaffold_02:68555291-68555448,0.648706863403798,0.570641721937975,0.0856078646645503,8.30981474218943,0.00902637748251012,3,14.1945675138452,-20.3891350276904,-18.4495084285384,0.0659583584318156,9,135
Scaffold_02:9781227-9781260,0.772381805094716,0.721799984004653,0.0716638770557376,15.2699485398016,0.00128065275196336,3,16.3280516172606,-24.6561032345213,-22.7164766353693,0.0462214014719388,9,135
Scaffold_03:19391564-19391584,0.706799551903177,0.633499439878971,0.101164712902918,9.64254395231718,0.00739023959750338,3,11.3442296222066,-14.6884592444132,-13.0968781532197,0.0818743930938381,8,135
Scaffold_03:23886416-23886518,0.50619941181333,0.396465947771848,0.130801378360374,4.61299036018742,0.0417813254362321,3,9.10773366134915,-10.2154673226983,-8.2758407235463,0.153981005228764,9,135
Scaffold_03:26066958-26066987,0.649148010247953,0.561435012809941,0.0559258795816345,7.40081891177778,0.0151529006354352,3,17.8641801382571,-27.7283602765143,-26.1367791853208,0.0250216320558359,8,135
Scaffold_03:37327549-37327561,0.498621978152529,0.387204639964202,0.0412294002447176,4.47526378084635,0.0447449282869581,3,22.9620741835828,-37.9241483671655,-35.9845217680135,0.0152987710008521,9,135
Scaffold_03:48500850-48500870,0.652201170716114,0.574912541986362,0.0961559019102427,8.43851393710972,0.00862931894560697,3,12.8002431543668,-17.6004863087336,-15.6608597095816,0.08321361724955,9,135
